Date,Value
200403,278181.558
200404,262850.989
200405,279035.826
200406,307772.359
200407,333907.044
200408,330926.528
200409,308565.833
200410,281736.725
200411,270162.928
200412,300049.878
200413,3547479.483
200501,309078.809
200502,279513.82
200503,286791.119
200504,264167.936
200505,273500.251
200506,319380.923
200507,355514.139
200508,362543.685
200509,330923.384
200510,297626.309
200511,274585.467
200512,307342.673
200513,3660968.513
200601,304865.97
200602,281046.416
200603,289970.26
200604,268208.305
200605,287198.134
200606,321839.89
200607,362386.77
200608,368633.765
200609,317282.1
200610,291186.106
200611,277181.969
200612,300119.157
200613,3669918.84
200701,315103.76
200702,301331.315
200703,291660.348
200704,275340.507
200705,292800.259
200706,323006.591
200707,352642.316
200708,373364.824
200709,337524.565
200710,307782.649
200711,286299.306
200712,307704.272
200713,3764560.712
200801,326214.571
200802,305094.919
200803,294625.338
200804,277963.417
200805,288276.058
200806,328592.497
200807,360426.568
200808,351856.428
200809,321906.211
200810,291762.074
200811,278330.41
200812,308916.129
200813,3733964.619
200901,321623.967
200902,286251.463
200903,283807.826
200904,265463.646
200905,275275.977
200906,305520.47
200907,337878.072
200908,344845.195
200909,310563.306
200910,287116.308
200911,268157.854
200912,310291.05
200913,3596795.134
201001,331878.763
201002,298459.728
201003,292511.351
201004,267052.129
201005,283729.267
201006,330893.201
201007,369017.719
201008,371769.314
201009,327742.336
201010,287839.796
201011,274900.069
201012,319047.695
201013,3754841.368
201101,334115.653
201102,296903.498
201103,292051.859
201104,275203.878
201105,287992.748
201106,328707.332
201107,370691.913
201108,372719.828
201109,326247.222
201110,288132.888
201111,275235.164
201112,301844.197
201113,3749846.18
201201,310975.384
201202,286982.924
201203,283731.207
201204,270759.602
201205,296968.169
201206,325159.869
201207,370962.701
201208,364784.717
201209,318089.708
201210,290735.458
201211,278211.923
201212,297288.124
201213,3694649.786
201301,320682.929
201302,291480.364
201303,297226.031
201304,277781.907
201305,289398.433
201306,320200.661
201307,358700.928
201308,353579.594
201309,323477.856
201310,294370.259
201311,281494.324
201312,316474.535
201313,3724867.821
201401,341238.272
201402,308941.133
201403,302388.188
201404,275893.667
201405,291420.869
201406,322791.98
201407,351523.985
201408,351882.992
201409,326907.121
201410,296679.784
201411,285412.583
201412,309619.693
201413,3764700.267
201501,329666.32
201502,306768.44
201503,305351.769
201504,275475.121
201505,288090.699
201506,326396.898
201507,362938.067
201508,362031.768
201509,332957.875
201510,296055.346
201511,275916.529
201512,297343.556
201513,3758992.389
201601,320890.165
201602,296805.763
201603,285812.359
201604,269531.237
201605,284707.642
201606,329877.905
201607,372172.268
201608,381192.328
201609,336752.086
201610,296680.671
201611,277316.98
201612,310722.226
201613,3762461.63
201701,318177.179
201702,275777.135
201703,291443.637
201704,272801.158
201705,291870.538
201706,328582.615
201707,367613.022
201708,360262.619
201709,321725.81
201710,299539.479
201711,283347.001
201712,312215.782
201713,3723355.974
201801,344477.687
201802,292732.286
201803,296999.304
201804,278467.988
201805,303248.008
201806,338082.985
201807,375023.427
201808,381130.629
201809,337262.549
201810,309113.587
201811,290507.1
201812,312139.711
201813,3859185.261
201901,328609.251
201902,295797.693
201903,301852.693
201904,273899.838
201905,296801.736
201906,321461.605
201907,376094.821
201908,372574.087
201909,340462.801
201910,308241.206
201911,285532.041
201912,309822.691
201913,3811150.463
202001,315532.79
202002,294659.405
202003,289893.78
202004,262400.562
202005,274707.081
202006,320055.724
202007,379530.041
202008,368884.504
202009,322554.513
202010,296876.578
202011,277249.201
202012,315330.302
202013,3717674.481
202101,321496.476
202102,299698.034
202103,295345.002
202104,272778.696
202105,290060.602
202106,338415.38
202107,373948.299
202108,381039.304
202109,336444.01
202110,302127.471
202111,287133.8
202112,307387.179
202113,3805874.253
202201,338656.046
202202,305863.071
202203,304300.027
202204,284932.867
202205,309696.954
202206,347106.332
202207,389214.175
202208,389626.282
202209,340543.841
202210,297195.944
202211,292257.746
202212,327775.784
202213,3927169.069
202301,322041.546
202302,290544.5
202303,305813.288
202304,280333.947
202305,297747.808
202306,327866.119
202307,384774.007
202308,389914.216
202309,342801.349
202310,304848.737
202311,290575.681
